SYMBOL,SYMBOL WITH NS,'SYMBOL WITH NS,TICKERS,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
EKC,EKC.NS,'EKC.NS,'ELECON.NS',Everest Kanto Cylinder Limited,EQ,15-Dec-2005,2,1,INE184H01027,2
ELECON,ELECON.NS,'ELECON.NS,'ELECTCAST.NS',Elecon Engineering Company Limited,EQ,29-Sep-2006,2,1,INE205B01023,2
ELECTCAST,ELECTCAST.NS,'ELECTCAST.NS,'ELECTHERM.NS',Electrosteel Castings Limited,EQ,20-Jun-2003,1,1,INE086A01029,1
ELECTHERM,ELECTHERM.NS,'ELECTHERM.NS,'ELGIEQUIP.NS',Electrotherm (India) Limited,EQ,20-Aug-2007,10,1,INE822G01016,10
ELGIEQUIP,ELGIEQUIP.NS,'ELGIEQUIP.NS,'ELGIRUBCO.NS',Elgi Equipments Limited,EQ,22-Nov-1995,1,1,INE285A01027,1
ELGIRUBCO,ELGIRUBCO.NS,'ELGIRUBCO.NS,'EMAMILTD.NS',Elgi Rubber Company Limited,EQ,10-Aug-2011,1,1,INE819L01012,1
EMAMILTD,EMAMILTD.NS,'EMAMILTD.NS,'EMAMIPAP.NS',Emami Limited,EQ,03-Aug-2006,1,1,INE548C01032,1
EMAMIPAP,EMAMIPAP.NS,'EMAMIPAP.NS,'EMAMIREAL.NS',Emami Paper Mills Limited,EQ,30-May-2019,2,1,INE830C01026,2
EMAMIREAL,EMAMIREAL.NS,'EMAMIREAL.NS,'EMCO.NS',Emami Realty Limited,EQ,28-Jul-2010,2,1,INE778K01012,2
EMCO,EMCO.NS,'EMCO.NS,'EMKAY.NS',Emco Limited,BZ,15-Dec-2005,2,1,INE078A01026,2
EMKAY,EMKAY.NS,'EMKAY.NS,'EMMBI.NS',Emkay Global Financial Services Limited,EQ,28-Apr-2006,10,1,INE296H01011,10
EMMBI,EMMBI.NS,'EMMBI.NS,'ENDURANCE.NS',Emmbi Industries Limited,EQ,24-Feb-2010,10,1,INE753K01015,10
ENDURANCE,ENDURANCE.NS,'ENDURANCE.NS,'ENERGYDEV.NS',Endurance Technologies Limited,EQ,19-Oct-2016,10,1,INE913H01037,10
ENERGYDEV,ENERGYDEV.NS,'ENERGYDEV.NS,'ENGINERSIN.NS',Energy Development Company Limited,EQ,02-Nov-2007,10,1,INE306C01019,10
ENGINERSIN,ENGINERSIN.NS,'ENGINERSIN.NS,'ENIL.NS',Engineers India Limited,EQ,20-Aug-1997,5,1,INE510A01028,5
ENIL,ENIL.NS,'ENIL.NS,'EPL.NS',Entertainment Network (India) Limited,EQ,15-Feb-2006,10,1,INE265F01028,10
EPL,EPL.NS,'EPL.NS,'EQUITAS.NS',EPL Limited,EQ,11-Feb-2002,2,1,INE255A01020,2
EQUITAS,EQUITAS.NS,'EQUITAS.NS,'EQUITASBNK.NS',Equitas Holdings Limited,EQ,21-Apr-2016,10,1,INE988K01017,10
EQUITASBNK,EQUITASBNK.NS,'EQUITASBNK.NS,'ERIS.NS',Equitas Small Finance Bank Limited,EQ,02-Nov-2020,10,1,INE063P01018,10
ERIS,ERIS.NS,'ERIS.NS,'EROSMEDIA.NS',Eris Lifesciences Limited,EQ,29-Jun-2017,1,1,INE406M01024,1
EROSMEDIA,EROSMEDIA.NS,'EROSMEDIA.NS,'ESABINDIA.NS',Eros International Media Limited,EQ,06-Oct-2010,10,1,INE416L01017,10
ESABINDIA,ESABINDIA.NS,'ESABINDIA.NS,'ESCORTS.NS',Esab India Limited,EQ,01-Nov-1995,10,1,INE284A01012,10
ESCORTS,ESCORTS.NS,'ESCORTS.NS,'ESSARSHPNG.NS',Escorts Limited,EQ,01-Mar-1995,10,1,INE042A01014,10
ESSARSHPNG,ESSARSHPNG.NS,'ESSARSHPNG.NS,'ESTER.NS',Essar Shipping Limited,EQ,15-Nov-2011,10,1,INE122M01019,10
ESTER,ESTER.NS,'ESTER.NS,'EUROTEXIND.NS',Ester Industries Limited,EQ,20-Jun-2011,5,1,INE778B01029,5
EUROTEXIND,EUROTEXIND.NS,'EUROTEXIND.NS,'EVEREADY.NS',Eurotex Industries and Exports Limited,EQ,31-Jan-1996,10,1,INE022C01012,10
EVEREADY,EVEREADY.NS,'EVEREADY.NS,'EVERESTIND.NS',Eveready Industries India Limited,EQ,27-Apr-2005,5,1,INE128A01029,5
EVERESTIND,EVERESTIND.NS,'EVERESTIND.NS,'EXCEL.NS',Everest Industries Limited,EQ,29-Mar-1995,10,1,INE295A01018,10
EXCEL,EXCEL.NS,'EXCEL.NS,'EXCELINDUS.NS',Excel Realty N Infra Limited,EQ,03-Aug-2009,10,1,INE688J01015,10
EXCELINDUS,EXCELINDUS.NS,'EXCELINDUS.NS,'EXIDEIND.NS',Excel Industries Limited,EQ,16-Jun-2004,5,1,INE369A01029,5
EXIDEIND,EXIDEIND.NS,'EXIDEIND.NS,'EXPLEOSOL.NS',Exide Industries Limited,EQ,17-Jun-2003,1,1,INE302A01020,1
EXPLEOSOL,EXPLEOSOL.NS,'EXPLEOSOL.NS,'FACT.NS',Expleo Solutions Limited,EQ,26-Oct-2009,10,1,INE201K01015,10
FACT,FACT.NS,'FACT.NS,'FAIRCHEMOR.NS',Fertilizers and Chemicals Travancore Limited,EQ,12-Apr-1995,10,1,INE188A01015,10
FAIRCHEMOR,FAIRCHEMOR.NS,'FAIRCHEMOR.NS,'FCL.NS',Fairchem Organics Limited,EQ,24-Dec-2020,10,1,INE0DNW01011,10
FCL,FCL.NS,'FCL.NS,'FCONSUMER.NS',Fineotex Chemical Limited,EQ,15-Jan-2015,2,1,INE045J01026,2
FCONSUMER,FCONSUMER.NS,'FCONSUMER.NS,'FCSSOFT.NS',Future Consumer Limited,EQ,04-Jul-2013,6,1,INE220J01025,6
FCSSOFT,FCSSOFT.NS,'FCSSOFT.NS,'FDC.NS',FCS Software Solutions Limited,EQ,21-Sep-2005,1,1,INE512B01022,1
FDC,FDC.NS,'FDC.NS,'FEDERALBNK.NS',FDC Limited,EQ,07-Aug-1997,1,1,INE258B01022,1
FEDERALBNK,FEDERALBNK.NS,'FEDERALBNK.NS,'FEL.NS',The Federal Bank  Limited,EQ,08-Feb-1995,2,1,INE171A01029,2
FEL,FEL.NS,'FEL.NS,'FELDVR.NS',Future Enterprises Limited,EQ,05-Nov-2001,2,1,INE623B01027,2
FELDVR,FELDVR.NS,'FELDVR.NS,'FIEMIND.NS',Future Enterprises Limited,EQ,13-Feb-2009,2,1,IN9623B01058,2
FIEMIND,FIEMIND.NS,'FIEMIND.NS,'FILATEX.NS',Fiem Industries Limited,EQ,19-Oct-2006,10,1,INE737H01014,10
FILATEX,FILATEX.NS,'FILATEX.NS,'FINCABLES.NS',Filatex India Limited,EQ,29-Aug-2011,2,1,INE816B01027,2
FINCABLES,FINCABLES.NS,'FINCABLES.NS,'FINEORG.NS',Finolex Cables Limited,EQ,15-Feb-1995,2,1,INE235A01022,2
FINEORG,FINEORG.NS,'FINEORG.NS,'FINPIPE.NS',Fine Organic Industries Limited,EQ,02-Jul-2018,5,1,INE686Y01026,5
FINPIPE,FINPIPE.NS,'FINPIPE.NS,'FLEXITUFF.NS',Finolex Industries Limited,EQ,08-Feb-1995,2,1,INE183A01024,2
FLEXITUFF,FLEXITUFF.NS,'FLEXITUFF.NS,'FLFL.NS',Flexituff Ventures International Limited,EQ,19-Oct-2011,10,1,INE060J01017,10
FLFL,FLFL.NS,'FLFL.NS,'FLUOROCHEM.NS',Future Lifestyle Fashions Limited,EQ,01-Oct-2013,2,1,INE452O01016,2
FLUOROCHEM,FLUOROCHEM.NS,'FLUOROCHEM.NS,'FMGOETZE.NS',Gujarat Fluorochemicals Limited,EQ,16-Oct-2019,1,1,INE09N301011,1
FMGOETZE,FMGOETZE.NS,'FMGOETZE.NS,'FMNL.NS',Federal-Mogul Goetze (India) Limited.,EQ,08-Feb-1995,10,1,INE529A01010,10
FMNL,FMNL.NS,'FMNL.NS,'FORCEMOT.NS',Future Market Networks Limited,EQ,31-Dec-2010,10,1,INE360L01017,10
FORCEMOT,FORCEMOT.NS,'FORCEMOT.NS,'FORTIS.NS',FORCE MOTORS LTD,EQ,03-Nov-1994,10,1,INE451A01017,10
FORTIS,FORTIS.NS,'FORTIS.NS,'FOSECOIND.NS',Fortis Healthcare Limited,EQ,09-May-2007,10,1,INE061F01013,10
FOSECOIND,FOSECOIND.NS,'FOSECOIND.NS,'FRETAIL.NS',Foseco India Limited,EQ,05-May-2003,10,1,INE519A01011,10
FRETAIL,FRETAIL.NS,'FRETAIL.NS,'FSC.NS',Future Retail Limited,EQ,29-Aug-2016,2,1,INE752P01024,2
FSC,FSC.NS,'FSC.NS,'FSL.NS',Future Supply Chain Solutions Limited,EQ,18-Dec-2017,10,1,INE935Q01015,10
FSL,FSL.NS,'FSL.NS,'GABRIEL.NS',Firstsource Solutions Limited,EQ,22-Feb-2007,10,1,INE684F01012,10
GABRIEL,GABRIEL.NS,'GABRIEL.NS,'GAEL.NS',Gabriel India Limited,EQ,20-Apr-2005,1,1,INE524A01029,1
GAEL,GAEL.NS,'GAEL.NS,'GAIL.NS',Gujarat Ambuja Exports Limited,EQ,11-Oct-2000,1,1,INE036B01030,1
GAIL,GAIL.NS,'GAIL.NS,'GAL.NS',GAIL (India) Limited,EQ,02-Apr-1997,10,1,INE129A01019,10
GAL,GAL.NS,'GAL.NS,'GALAXYSURF.NS',Gyscoal Alloys Limited,EQ,27-Oct-2010,1,1,INE482J01021,1
GALAXYSURF,GALAXYSURF.NS,'GALAXYSURF.NS,'GALLANTT.NS',Galaxy Surfactants Limited,EQ,08-Feb-2018,10,1,INE600K01018,10
GALLANTT,GALLANTT.NS,'GALLANTT.NS,'GALLISPAT.NS',Gallantt Metal Limited,EQ,04-Apr-2006,10,1,INE297H01019,10
GALLISPAT,GALLISPAT.NS,'GALLISPAT.NS,'GAMMNINFRA.NS',Gallantt Ispat Limited,EQ,11-Oct-2010,1,1,INE528K01029,1
GAMMNINFRA,GAMMNINFRA.NS,'GAMMNINFRA.NS,'GANDHITUBE.NS',Gammon Infrastructure Projects Limited,EQ,03-Apr-2008,2,1,INE181G01025,2
GANDHITUBE,GANDHITUBE.NS,'GANDHITUBE.NS,'GANECOS.NS',Gandhi Special Tubes Limited,EQ,31-Jan-2007,5,1,INE524B01027,5
GANECOS,GANECOS.NS,'GANECOS.NS,'GANESHHOUC.NS',Ganesha Ecosphere Limited,EQ,09-Mar-2015,10,1,INE845D01014,10
GANESHHOUC,GANESHHOUC.NS,'GANESHHOUC.NS,'GANGESSECU.NS',Ganesh Housing Corporation Limited,EQ,02-Mar-2007,10,1,INE460C01014,10
GANGESSECU,GANGESSECU.NS,'GANGESSECU.NS,'GARFIBRES.NS',Ganges Securities Limited,EQ,28-Jul-2017,10,1,INE335W01016,10
GARFIBRES,GARFIBRES.NS,'GARFIBRES.NS,'GATI.NS',Garware Technical Fibres Limited,EQ,03-Apr-2007,10,1,INE276A01018,10
GATI,GATI.NS,'GATI.NS,'GAYAHWS.NS',GATI Limited,EQ,10-Oct-2006,2,1,INE152B01027,2
GAYAHWS,GAYAHWS.NS,'GAYAHWS.NS,'GAYAPROJ.NS',Gayatri Highways Limited,EQ,28-Jun-2018,2,1,INE287Z01012,2
GAYAPROJ,GAYAPROJ.NS,'GAYAPROJ.NS,'GBGLOBAL.NS',Gayatri Projects Limited,EQ,22-Aug-2011,2,1,INE336H01023,2
GBGLOBAL,GBGLOBAL.NS,'GBGLOBAL.NS,'GDL.NS',GB Global Limited,EQ,04-Jun-2019,10,1,INE087J01028,10
GDL,GDL.NS,'GDL.NS,'GEECEE.NS',Gateway Distriparks Limited,EQ,31-Mar-2005,10,1,INE852F01015,10
GEECEE,GEECEE.NS,'GEECEE.NS,'GEEKAYWIRE.NS',GeeCee Ventures Limited,EQ,04-Oct-2006,10,1,INE916G01016,10
GEEKAYWIRE,GEEKAYWIRE.NS,'GEEKAYWIRE.NS,'GENCON.NS',Geekay Wires Limited,EQ,06-Mar-2020,10,1,INE669X01016,10
GENCON,GENCON.NS,'GENCON.NS,'GENESYS.NS',Generic Engineering Construction and Projects Limited,EQ,16-Feb-2021,5,1,INE854S01022,5
GENESYS,GENESYS.NS,'GENESYS.NS,'GENUSPAPER.NS',Genesys International Corporation Limited,EQ,23-Jan-2003,5,1,INE727B01026,5
GENUSPAPER,GENUSPAPER.NS,'GENUSPAPER.NS,'GENUSPOWER.NS',Genus Paper & Boards Limited,EQ,16-Feb-2015,1,1,INE949P01018,1
GENUSPOWER,GENUSPOWER.NS,'GENUSPOWER.NS,'GEOJITFSL.NS',Genus Power Infrastructures Limited,EQ,08-Jul-2005,1,1,INE955D01029,1
GEOJITFSL,GEOJITFSL.NS,'GEOJITFSL.NS,'GEPIL.NS',Geojit Financial Services Limited,EQ,01-Jul-2005,1,1,INE007B01023,1
GEPIL,GEPIL.NS,'GEPIL.NS,'GESHIP.NS',GE Power India Limited,EQ,19-Apr-2000,10,1,INE878A01011,10
GESHIP,GESHIP.NS,'GESHIP.NS,'GET&D.NS',The Great Eastern Shipping Company Limited,EQ,27-Nov-2006,10,1,INE017A01032,10
GET&D,GET&D.NS,'GET&D.NS,'GFLLIMITED.NS',GE T&D India Limited,EQ,30-Jun-2008,2,1,INE200A01026,2
GFLLIMITED,GFLLIMITED.NS,'GFLLIMITED.NS,'GFSTEELS.NS',GFL Limited,EQ,25-May-1995,1,1,INE538A01037,1
GFSTEELS,GFSTEELS.NS,'GFSTEELS.NS,'GHCL.NS',Grand Foundry Limited,EQ,22-Jul-2019,4,1,INE534A01028,4
GHCL,GHCL.NS,'GHCL.NS,'GICHSGFIN.NS',GHCL Limited,EQ,31-Jul-2003,10,1,INE539A01019,10
GICHSGFIN,GICHSGFIN.NS,'GICHSGFIN.NS,'GICRE.NS',GIC Housing Finance Limited,EQ,08-May-1996,10,1,INE289B01019,10
GICRE,GICRE.NS,'GICRE.NS,'GILLANDERS.NS',General Insurance Corporation of India,EQ,25-Oct-2017,5,1,INE481Y01014,5
GILLANDERS,GILLANDERS.NS,'GILLANDERS.NS,'GILLETTE.NS',Gillanders Arbuthnot & Company Limited,EQ,14-Dec-2009,10,1,INE047B01011,10
GILLETTE,GILLETTE.NS,'GILLETTE.NS,'GINNIFILA.NS',Gillette India Limited,EQ,30-Jul-2003,10,1,INE322A01010,10
GINNIFILA,GINNIFILA.NS,'GINNIFILA.NS,'GIPCL.NS',Ginni Filaments Limited,EQ,10-May-1995,10,1,INE424C01010,10
GIPCL,GIPCL.NS,'GIPCL.NS,'GISOLUTION.NS',Gujarat Industries Power Company Limited,EQ,08-Feb-1995,10,1,INE162A01010,10
GISOLUTION,GISOLUTION.NS,'GISOLUTION.NS,'GKWLIMITED.NS',GI Engineering Solutions Limited,EQ,30-Jan-2009,10,1,INE065J01016,10
GKWLIMITED,GKWLIMITED.NS,'GKWLIMITED.NS,'GLAND.NS',GKW Limited,EQ,20-Jul-2009,10,1,INE528A01020,10
GLAND,GLAND.NS,'GLAND.NS,'GLAXO.NS',Gland Pharma Limited,EQ,20-Nov-2020,1,1,INE068V01023,1
GLAXO,GLAXO.NS,'GLAXO.NS,'GLENMARK.NS',GlaxoSmithKline Pharmaceuticals Limited,EQ,15-Dec-2000,10,1,INE159A01016,10
GLENMARK,GLENMARK.NS,'GLENMARK.NS,'GLFL.NS',Glenmark Pharmaceuticals Limited,EQ,07-Feb-2000,1,1,INE935A01035,1
GLFL,GLFL.NS,'GLFL.NS,'GLOBAL.NS',Gujarat Lease Financing Limited,EQ,08-Feb-1995,10,1,INE540A01017,10
GLOBAL,GLOBAL.NS,'GLOBAL.NS,'GLOBALVECT.NS',Global Education Limited,EQ,07-Dec-2020,10,1,INE291W01011,10
GLOBALVECT,GLOBALVECT.NS,'GLOBALVECT.NS,'GLOBE.NS',Global Vectra Helicorp Limited,EQ,27-Oct-2006,10,1,INE792H01019,10
GLOBE,GLOBE.NS,'GLOBE.NS,'GLOBUSSPR.NS',Globe Textiles (India) Limited,BE,07-Oct-2020,10,1,INE581X01013,10
GLOBUSSPR,GLOBUSSPR.NS,'GLOBUSSPR.NS,'GMBREW.NS',Globus Spirits Limited,EQ,23-Sep-2009,10,1,INE615I01010,10
GMBREW,GMBREW.NS,'GMBREW.NS,'GMDCLTD.NS',GM Breweries Limited,EQ,23-Aug-1995,10,1,INE075D01018,10
GMDCLTD,GMDCLTD.NS,'GMDCLTD.NS,'GMMPFAUDLR.NS',Gujarat Mineral Development Corporation Limited,EQ,17-Dec-1997,2,1,INE131A01031,2
GMMPFAUDLR,GMMPFAUDLR.NS,'GMMPFAUDLR.NS,'GMRINFRA.NS',GMM Pfaudler Limited,EQ,05-Mar-2018,2,1,INE541A01023,2
GMRINFRA,GMRINFRA.NS,'GMRINFRA.NS,'GNA.NS',GMR Infrastructure Limited,EQ,21-Aug-2006,1,1,INE776C01039,1
GNA,GNA.NS,'GNA.NS,'GNFC.NS',GNA Axles Limited,EQ,26-Sep-2016,10,1,INE934S01014,10
GNFC,GNFC.NS,'GNFC.NS,'GOACARBON.NS',Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,17-May-1995,10,1,INE113A01013,10
GOACARBON,GOACARBON.NS,'GOACARBON.NS,'GOCLCORP.NS',Goa Carbon Limited,EQ,05-Jun-2007,10,1,INE426D01013,10
GOCLCORP,GOCLCORP.NS,'GOCLCORP.NS,'GODFRYPHLP.NS',GOCL Corporation Limited,EQ,26-Jun-2014,2,1,INE077F01035,2
GODFRYPHLP,GODFRYPHLP.NS,'GODFRYPHLP.NS,'GODHA.NS',Godfrey Phillips India Limited,EQ,24-Jul-1996,2,1,INE260B01028,2
GODHA,GODHA.NS,'GODHA.NS,'GODREJAGRO.NS',Godha Cabcon & Insulation Limited,BE,24-Dec-2020,10,1,INE925Y01010,10
GODREJAGRO,GODREJAGRO.NS,'GODREJAGRO.NS,'GODREJCP.NS',Godrej Agrovet Limited,EQ,16-Oct-2017,10,1,INE850D01014,10
GODREJCP,GODREJCP.NS,'GODREJCP.NS,'GODREJIND.NS',Godrej Consumer Products Limited,EQ,20-Jun-2001,1,1,INE102D01028,1
GODREJIND,GODREJIND.NS,'GODREJIND.NS,'GODREJPROP.NS',Godrej Industries Limited,EQ,25-Feb-2003,1,1,INE233A01035,1
GODREJPROP,GODREJPROP.NS,'GODREJPROP.NS,'GOENKA.NS',Godrej Properties Limited,EQ,05-Jan-2010,5,1,INE484J01027,5
GOENKA,GOENKA.NS,'GOENKA.NS,'GOKEX.NS',Goenka Diamond and Jewels Limited,BZ,16-Apr-2010,1,1,INE516K01024,1
GOKEX,GOKEX.NS,'GOKEX.NS,'GOKUL.NS',Gokaldas Exports Limited,EQ,27-Apr-2005,5,1,INE887G01027,5
GOKUL,GOKUL.NS,'GOKUL.NS,'GOKULAGRO.NS',Gokul Refoils and Solvent Limited,EQ,04-Jun-2008,2,1,INE020J01029,2
GOKULAGRO,GOKULAGRO.NS,'GOKULAGRO.NS,'GOLDENTOBC.NS',Gokul Agro Resources Limited,EQ,11-Mar-2016,2,1,INE314T01025,2
GOLDENTOBC,GOLDENTOBC.NS,'GOLDENTOBC.NS,'GOLDIAM.NS',Golden Tobacco Limited,EQ,08-Feb-1995,10,1,INE973A01010,10
GOLDIAM,GOLDIAM.NS,'GOLDIAM.NS,'GOLDTECH.NS',Goldiam International Limited,EQ,29-Aug-2005,10,1,INE025B01017,10
GOLDTECH,GOLDTECH.NS,'GOLDTECH.NS,'GOODLUCK.NS',Goldstone Technologies Limited,EQ,11-Apr-2001,10,1,INE805A01014,10
GOODLUCK,GOODLUCK.NS,'GOODLUCK.NS,'GOODYEAR.NS',Goodluck India Limited,EQ,08-Jan-2015,2,1,INE127I01024,2
GOODYEAR,GOODYEAR.NS,'GOODYEAR.NS,'GPIL.NS',Goodyear India Limited,EQ,28-Dec-1994,10,1,INE533A01012,10
GPIL,GPIL.NS,'GPIL.NS,'GPPL.NS',Godawari Power And Ispat limited,EQ,25-Apr-2006,10,1,INE177H01013,10
GPPL,GPPL.NS,'GPPL.NS,'GPTINFRA.NS',Gujarat Pipavav Port Limited,EQ,09-Sep-2010,10,1,INE517F01014,10
GPTINFRA,GPTINFRA.NS,'GPTINFRA.NS,'GRANULES.NS',GPT Infraprojects Limited,EQ,11-Jul-2016,10,1,INE390G01014,10
GRANULES,GRANULES.NS,'GRANULES.NS,'GRAPHITE.NS',Granules India Limited,EQ,20-Jun-2005,1,1,INE101D01020,1
GRAPHITE,GRAPHITE.NS,'GRAPHITE.NS,'GRASIM.NS',Graphite India Limited,EQ,07-Feb-2003,2,1,INE371A01025,2
GRASIM,GRASIM.NS,'GRASIM.NS,'GRAVITA.NS',Grasim Industries Limited,EQ,10-May-1995,2,1,INE047A01021,2
GRAVITA,GRAVITA.NS,'GRAVITA.NS,'GREAVESCOT.NS',Gravita India Limited,EQ,16-Nov-2010,2,1,INE024L01027,2
GREAVESCOT,GREAVESCOT.NS,'GREAVESCOT.NS,'GREENLAM.NS',Greaves Cotton Limited,EQ,09-Sep-2004,2,1,INE224A01026,2
GREENLAM,GREENLAM.NS,'GREENLAM.NS,'GREENPANEL.NS',Greenlam Industries Limited,EQ,02-Mar-2015,5,1,INE544R01013,5
GREENPANEL,GREENPANEL.NS,'GREENPANEL.NS,'GREENPLY.NS',Greenpanel Industries Limited,EQ,23-Oct-2019,1,1,INE08ZM01014,1
GREENPLY,GREENPLY.NS,'GREENPLY.NS,'GREENPOWER.NS',Greenply Industries Limited,EQ,06-Mar-1996,1,1,INE461C01038,1
GREENPOWER,GREENPOWER.NS,'GREENPOWER.NS,'GRINDWELL.NS',Orient Green Power Company Limited,EQ,08-Oct-2010,10,1,INE999K01014,10
GRINDWELL,GRINDWELL.NS,'GRINDWELL.NS,'GROBTEA.NS',Grindwell Norton Limited,EQ,11-Sep-2006,5,1,INE536A01023,5
GROBTEA,GROBTEA.NS,'GROBTEA.NS,'GRPLTD.NS',The Grob Tea Company Limited,EQ,14-Jul-2016,10,1,INE646C01018,10
GRPLTD,GRPLTD.NS,'GRPLTD.NS,'GRSE.NS',GRP Limited,EQ,12-Feb-2015,10,1,INE137I01015,10
GRSE,GRSE.NS,'GRSE.NS,'GSCLCEMENT.NS',Garden Reach Shipbuilders & Engineers Limited,EQ,10-Oct-2018,10,1,INE382Z01011,10
GSCLCEMENT,GSCLCEMENT.NS,'GSCLCEMENT.NS,'GSFC.NS',Gujarat Sidhee Cement Limited,EQ,15-May-2013,10,1,INE542A01039,10
GSFC,GSFC.NS,'GSFC.NS,'GSPL.NS',Gujarat State Fertilizers & Chemicals Limited,EQ,06-Sep-1995,2,1,INE026A01025,2
GSPL,GSPL.NS,'GSPL.NS,'GSS.NS',Gujarat State Petronet Limited,EQ,16-Feb-2006,10,1,INE246F01010,10
GSS,GSS.NS,'GSS.NS,'GTL.NS',GSS Infotech Limited,EQ,07-Mar-2008,10,1,INE871H01011,10
GTL,GTL.NS,'GTL.NS,'GTLINFRA.NS',GTL Limited,EQ,29-Mar-1995,10,1,INE043A01012,10
GTLINFRA,GTLINFRA.NS,'GTLINFRA.NS,'GTNTEX.NS',GTL Infrastructure Limited,EQ,09-Nov-2006,10,1,INE221H01019,10
GTNTEX,GTNTEX.NS,'GTNTEX.NS,'GTPL.NS',GTN Textiles Limited,EQ,18-May-2006,10,1,INE302H01017,10
GTPL,GTPL.NS,'GTPL.NS,'GUFICBIO.NS',GTPL Hathway Limited,EQ,04-Jul-2017,10,1,INE869I01013,10
GUFICBIO,GUFICBIO.NS,'GUFICBIO.NS,'GUJALKALI.NS',Gufic Biosciences Limited,EQ,19-Oct-2004,1,1,INE742B01025,1
GUJALKALI,GUJALKALI.NS,'GUJALKALI.NS,'GUJAPOLLO.NS',Gujarat Alkalies and Chemicals Limited,EQ,07-Aug-1997,10,1,INE186A01019,10
GUJAPOLLO,GUJAPOLLO.NS,'GUJAPOLLO.NS,'GUJGASLTD.NS',Gujarat Apollo Industries Limited,EQ,04-Jun-2007,10,1,INE826C01016,10
GUJGASLTD,GUJGASLTD.NS,'GUJGASLTD.NS,'GUJRAFFIA.NS',Gujarat Gas Limited,EQ,15-Sep-2015,2,1,INE844O01030,2
GUJRAFFIA,GUJRAFFIA.NS,'GUJRAFFIA.NS,'GULFOILLUB.NS',Gujarat Raffia Industries Limited,BE,09-Oct-1996,10,1,INE610B01024,10
GULFOILLUB,GULFOILLUB.NS,'GULFOILLUB.NS,'GULFPETRO.NS',Gulf Oil Lubricants India Limited,EQ,31-Jul-2014,2,1,INE635Q01029,2
GULFPETRO,GULFPETRO.NS,'GULFPETRO.NS,'GULPOLY.NS',GP Petroleums Limited,EQ,24-Sep-2004,5,1,INE586G01017,5
GULPOLY,GULPOLY.NS,'GULPOLY.NS,'HAL.NS',Gulshan Polyols Limited,EQ,28-Jan-2015,1,1,INE255D01024,1
HAL,HAL.NS,'HAL.NS,'HAPPSTMNDS.NS',Hindustan Aeronautics Limited,EQ,28-Mar-2018,10,1,INE066F01012,10
HAPPSTMNDS,HAPPSTMNDS.NS,'HAPPSTMNDS.NS,'HARRMALAYA.NS',Happiest Minds Technologies Limited,EQ,17-Sep-2020,2,1,INE419U01012,2
HARRMALAYA,HARRMALAYA.NS,'HARRMALAYA.NS,'HATHWAY.NS',Harrisons  Malayalam Limited,EQ,08-Feb-1995,10,1,INE544A01019,10
HATHWAY,HATHWAY.NS,'HATHWAY.NS,'HATSUN.NS',Hathway Cable & Datacom Limited,EQ,25-Feb-2010,2,1,INE982F01036,2
HATSUN,HATSUN.NS,'HATSUN.NS,'HAVELLS.NS',Hatsun Agro Product Limited,EQ,20-Jun-2014,1,1,INE473B01035,1
HAVELLS,HAVELLS.NS,'HAVELLS.NS,'HAVISHA.NS',Havells India Limited,EQ,21-Mar-2001,1,1,INE176B01034,1
HAVISHA,HAVISHA.NS,'HAVISHA.NS,'HBLPOWER.NS',Sri Havisha Hospitality and Infrastructure Limited,BE,16-Feb-2000,2,1,INE293B01029,2
HBLPOWER,HBLPOWER.NS,'HBLPOWER.NS,'HBSL.NS',HBL Power Systems Limited,EQ,04-Jan-2007,1,1,INE292B01021,1
HBSL,HBSL.NS,'HBSL.NS,'HCC.NS',HB Stockholdings Limited,EQ,23-Jul-2018,10,1,INE550B01022,10
HCC,HCC.NS,'HCC.NS,'HCG.NS',Hindustan Construction Company Limited,EQ,01-Apr-2003,1,1,INE549A01026,1
HCG,HCG.NS,'HCG.NS,'HCL-INSYS.NS',Healthcare Global Enterprises Limited,EQ,30-Mar-2016,10,1,INE075I01017,10
HCL-INSYS,HCL-INSYS.NS,'HCL-INSYS.NS,'HCLTECH.NS',HCL Infosystems Limited,EQ,01-Jan-1997,2,1,INE236A01020,2
HCLTECH,HCLTECH.NS,'HCLTECH.NS,'HDFC.NS',HCL Technologies Limited,EQ,06-Jan-2000,2,1,INE860A01027,2
HDFC,HDFC.NS,'HDFC.NS,'HDFCAMC.NS',Housing Development Finance Corporation Limited,EQ,23-Oct-1996,2,1,INE001A01036,2
HDFCAMC,HDFCAMC.NS,'HDFCAMC.NS,'HDFCBANK.NS',HDFC Asset Management Company Limited,EQ,06-Aug-2018,5,1,INE127D01025,5
HDFCBANK,HDFCBANK.NS,'HDFCBANK.NS,'HDFCLIFE.NS',HDFC Bank Limited,EQ,08-Nov-1995,1,1,INE040A01034,1
HDFCLIFE,HDFCLIFE.NS,'HDFCLIFE.NS,'HDIL.NS',HDFC Life Insurance Company Limited,EQ,17-Nov-2017,10,1,INE795G01014,10
HDIL,HDIL.NS,'HDIL.NS,'HEG.NS',Housing Development and Infrastructure Limited,BZ,24-Jul-2007,10,1,INE191I01012,10
