SYMBOL,SYMBOL WITH NS,'SYMBOL WITH NS,TICKERS,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
SOMATEX,SOMATEX.NS,'SOMATEX.NS,'SOMICONVEY.NS',Soma Textiles & Industries Limited,EQ,14-Aug-1996,10,1,INE314C01013,10
SOMICONVEY,SOMICONVEY.NS,'SOMICONVEY.NS,'SONATSOFTW.NS',Somi Conveyor Beltings Limited,EQ,18-Jul-2016,10,1,INE323J01019,10
SONATSOFTW,SONATSOFTW.NS,'SONATSOFTW.NS,'SORILINFRA.NS',Sonata Software Limited,EQ,28-Jul-1999,1,1,INE269A01021,1
SORILINFRA,SORILINFRA.NS,'SORILINFRA.NS,'SOTL.NS',SORIL Infra Resources Limited,EQ,06-Dec-2005,10,1,INE034H01016,10
SOTL,SOTL.NS,'SOTL.NS,'SOUTHBANK.NS',Savita Oil Technologies Limited,EQ,28-Jun-1995,10,1,INE035D01012,10
SOUTHBANK,SOUTHBANK.NS,'SOUTHBANK.NS,'SOUTHWEST.NS',The South Indian Bank Limited,EQ,08-Dec-1998,1,1,INE683A01023,1
SOUTHWEST,SOUTHWEST.NS,'SOUTHWEST.NS,'SPAL.NS',South West Pinnacle Exploration Limited,EQ,18-Apr-2019,10,1,INE980Y01015,10
SPAL,SPAL.NS,'SPAL.NS,'SPANDANA.NS',S. P. Apparels Limited,EQ,12-Aug-2016,10,1,INE212I01016,10
SPANDANA,SPANDANA.NS,'SPANDANA.NS,'SPARC.NS',Spandana Sphoorty Financial Limited,EQ,19-Aug-2019,10,1,INE572J01011,10
SPARC,SPARC.NS,'SPARC.NS,'SPECIALITY.NS',Sun Pharma Advanced Research Company Limited,EQ,18-Jul-2007,1,1,INE232I01014,1
SPECIALITY,SPECIALITY.NS,'SPECIALITY.NS,'SPENCERS.NS',Speciality Restaurants Limited,EQ,30-May-2012,10,1,INE247M01014,10
SPENCERS,SPENCERS.NS,'SPENCERS.NS,'SPENTEX.NS',Spencer's Retail Limited,EQ,25-Jan-2019,5,1,INE020801028,5
SPENTEX,SPENTEX.NS,'SPENTEX.NS,'SPIC.NS',Spentex Industries Limited,BZ,20-Dec-2006,10,1,INE376C01020,10
SPIC,SPIC.NS,'SPIC.NS,'SPICEJET.NS',Southern Petrochemicals Industries Corporation  Limited,EQ,10-Jan-1996,10,1,INE147A01011,10
SPICEJET,SPICEJET.NS,'SPICEJET.NS,'SPLIL.NS',SPICEJET LTD,EQ,10-May-1995,10,1,INE285B01017,10
SPLIL,SPLIL.NS,'SPLIL.NS,'SPMLINFRA.NS',SPL Industries Limited,EQ,26-Jul-2005,10,1,INE978G01016,10
SPMLINFRA,SPMLINFRA.NS,'SPMLINFRA.NS,'SPTL.NS',SPML Infra Limited,EQ,14-Feb-1996,2,1,INE937A01023,2
SPTL,SPTL.NS,'SPTL.NS,'SPYL.NS',Sintex Plastics Technology Limited,EQ,08-Aug-2017,1,1,INE501W01021,1
SPYL,SPYL.NS,'SPYL.NS,'SREEL.NS',Shekhawati Poly-Yarn Limited,BE,12-Jan-2011,1,1,INE268L01020,1
SREEL,SREEL.NS,'SREEL.NS,'SREINFRA.NS',Sreeleathers Limited,EQ,01-Jan-2014,10,1,INE099F01013,10
SREINFRA,SREINFRA.NS,'SREINFRA.NS,'SRF.NS',SREI Infrastructure Finance Limited,EQ,20-Dec-1995,10,1,INE872A01014,10
SRF,SRF.NS,'SRF.NS,'SRHHYPOLTD.NS',SRF Limited,EQ,18-Aug-2003,10,1,INE647A01010,10
SRHHYPOLTD,SRHHYPOLTD.NS,'SRHHYPOLTD.NS,'SRIPIPES.NS',Sree Rayalaseema Hi-Strength Hypo Limited,EQ,08-May-2007,10,1,INE917H01012,10
SRIPIPES,SRIPIPES.NS,'SRIPIPES.NS,'SRPL.NS',Srikalahasthi Pipes Limited,EQ,28-Aug-2007,10,1,INE943C01027,10
SRPL,SRPL.NS,'SRPL.NS,'SRTRANSFIN.NS',Shree Ram Proteins Limited,BE,23-Sep-2020,10,1,INE008Z01012,10
SRTRANSFIN,SRTRANSFIN.NS,'SRTRANSFIN.NS,'SSWL.NS',Shriram Transport Finance Company Limited,EQ,11-Dec-1996,10,1,INE721A01013,10
SSWL,SSWL.NS,'SSWL.NS,'STAR.NS',Steel Strips Wheels Limited,EQ,06-Jun-2005,10,1,INE802C01017,10
STAR,STAR.NS,'STAR.NS,'STARCEMENT.NS',Strides Pharma Science Limited,EQ,02-Feb-2000,10,1,INE939A01011,10
STARCEMENT,STARCEMENT.NS,'STARCEMENT.NS,'STARPAPER.NS',Star Cement Limited,EQ,16-Jun-2017,1,1,INE460H01021,1
STARPAPER,STARPAPER.NS,'STARPAPER.NS,'STCINDIA.NS',Star Paper Mills Limited,EQ,13-Sep-1995,10,1,INE733A01018,10
STCINDIA,STCINDIA.NS,'STCINDIA.NS,'STEELCITY.NS',The State Trading Corporation of India Limited,EQ,01-Apr-2003,10,1,INE655A01013,10
STEELCITY,STEELCITY.NS,'STEELCITY.NS,'STEELXIND.NS',Steel City Securities Limited,EQ,27-Jun-2019,10,1,INE395H01011,10
STEELXIND,STEELXIND.NS,'STEELXIND.NS,'STEL.NS',STEEL EXCHANGE INDIA LIMITED,EQ,20-Jul-2017,10,1,INE503B01013,10
STEL,STEL.NS,'STEL.NS,'STERTOOLS.NS',Stel Holdings Limited,EQ,09-Feb-2011,10,1,INE577L01016,10
