Security Code,Issuer Name,Security Id,SYMBOL WITH BO,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
531323,,JAYIND,JAYIND.BO,Jayatma Industries Ltd,Active,X,10,INE250D01017,Textiles,Equity
531327,,CHARMS,CHARMS.BO,CHARMS INDUSTRIES LTD.,Active,X,10,INE442C01012,Other Financial Services,Equity
531328,,KRETTOSYS,KRETTOSYS.BO,Kretto Syscon Ltd,Active,XT,10,INE128R01015,Realty,Equity
531334,,VIKALPS,VIKALPS.BO,VIKALP SECURITIES LTD.,Active,XT,10,INE186E01011,Diversified Commercial Services,Equity
531335,,ZYDUSWELL,ZYDUSWELL.BO,ZYDUS WELLNESS LTD.-$,Active,A,10,INE768C01010,Packaged Foods,Equity
531336,,AUROCOK,AUROCOK.BO,AUROMA COKE LTD.,Active,XT,10,INE662I01012,Coal,Equity
531337,,JUMPNET,JUMPNET.BO,Jump Networks Ltd,Active,B,5,INE974C01022,Other Financial Services,Equity
531338,,MILESTONE,MILESTONE.BO,MILESTONE GLOBAL LTD.,Active,X,10,INE151H01018,Construction Materials,Equity
531340,,BERVINL,BERVINL.BO,BERVIN INVESTMENT & LEASING LTD.,Active,XT,10,INE348I01018,Other Financial Services,Equity
531341,,GUJINV,GUJINV.BO,GUJARAT INVESTA LTD.,Active,X,10,INE373D01017,Finance (including NBFCs),Equity
531343,,INDINFRA,INDINFRA.BO,INDIA INFRASPACE LTD.,Active,X,10,INE954M01031,Diversified Commercial Services,Equity
531344,,CONCOR,CONCOR.BO,CONTAINER CORPORATION OF INDIA LTD.,Active,A,5,INE111A01025,Transport Related Services,Equity
531346,,EASTRED,EASTRED.BO,EASTERN TREADS LTD.,Active,X,10,INE500D01015,Auto Tyres & Rubber Products,Equity
531349,,PANACEABIO,PANACEABIO.BO,PANACEA BIOTEC LTD.,Active,A,1,INE922B01023,Biotechnology,Equity
531352,,PEETISEC,PEETISEC.BO,PEETI SECURITIES LTD.,Active,XT,10,INE328D01011,Textiles,Equity
531357,,MERMETL,MERMETL.BO,MERCURY METALS LTD.,Active,XT,1,INE763M01028,Comm.Trading  & Distribution,Equity
531358,,CHOICEIN,CHOICEIN.BO,CHOICE INTERNATIONAL LTD.,Active,X,10,INE102B01014,Finance (including NBFCs),Equity
531359,,SRAMSET,SRAMSET.BO,SHRIRAM ASSET MANAGEMENT CO.LTD.,Active,X,10,INE777G01012,Asset Management Cos.,Equity
531360,,GOLECHA,GOLECHA.BO,GOLECHHA GLOBAL FINANCE LTD.,Active,X,10,INE427D01011,Diversified Commercial Services,Equity
531364,,PARAMONE,PARAMONE.BO,Paramone Concepts Ltd,Active,X,10,INE005E01013,Construction & Engineering,Equity
531370,,SPARCSYS,SPARCSYS.BO,SPARC SYSTEMS LTD.,Active,XT,10,INE960B01015,IT Consulting & Software,Equity
531373,,THEBYKE,THEBYKE.BO,THE BYKE HOSPITALITY LTD.,Active,B,10,INE319B01014,Hotels,Equity
531380,,CSURGSU,CSURGSU.BO,CENTENIAL SURGICAL SUTURE LTD.,Active,X,10,INE405H01018,Medical Equipment,Equity
531381,,ARIHANT,ARIHANT.BO,ARIHANT FOUNDATIONS & HOUSING LTD.-$,Active,B,10,INE413D01011,Realty,Equity
531387,,HASTIFIN,HASTIFIN.BO,HASTI FINANCE LTD.,Active,X,10,INE671D01014,Finance (including NBFCs),Equity
531390,,UPSURGE,UPSURGE.BO,UPSURGE INVESTMENT & FINANCE LTD.,Active,X,10,INE890B01014,Finance (including NBFCs),Equity
531395,,PADAMCO,PADAMCO.BO,PADAM COTTON YARNS LTD.,Active,XT,10,INE448D01017,Textiles,Equity
531396,,WOMENNET,WOMENNET.BO,WOMEN NETWORKS LTD.,Active,XT,10,INE905B01010,IT Software Products,Equity
531397,,POLYCON,POLYCON.BO,POLYCON INTERNATIONAL LTD.,Active,X,10,INE262C01014,Containers & Packaging,Equity
531398,,SOURCENTRL,SOURCENTRL.BO,SOURCE NATURAL FOODS & HERBAL SUPPL LTD.,Active,X,10,INE679C01027,Pharmaceuticals,Equity
531400,,ALMONDZ,ALMONDZ.BO,ALMONDZ GLOBAL SECURITIES LTD.,Active,B,6,INE326B01027,Other Financial Services,Equity
531402,,LWSKNIT,LWSKNIT.BO,LWS KNITWEAR LTD.,Active,XT,10,INE281M01013,Comm.Trading  & Distribution,Equity
531406,,ANSINDUS,ANSINDUS.BO,ANS Industries Ltd,Active,XT,10,INE234J01018,Non-alcoholic Beverages,Equity
531409,,ALCHCORP,ALCHCORP.BO,ALCHEMIST CORPORATION LTD.,Active,X,10,INE057D01016,Commodity Chemicals,Equity
531411,,TUNITEX,TUNITEX.BO,TUNI TEXTILE MILLS LTD.,Active,XT,1,INE560D01027,Textiles,Equity
531412,,RADIXIND,RADIXIND.BO,Radix Industries (India) Limited,Active,XT,10,INE576N01014,Personal Products,Equity
531413,,KIRANPR,KIRANPR.BO,KIRAN PRINT-PACK LTD.,Active,X,10,INE516D01011,Comm.Printing/Stationery,Equity
531416,,NARPROP,NARPROP.BO,NARENDRA PROPERTIES LTD.,Active,X,10,INE603F01012,Realty,Equity
531417,,MEGACOR,MEGACOR.BO,MEGA CORPORATION LTD.,Active,X,1,INE804B01023,Finance (including NBFCs),Equity
531426,,TNPL,TNPL.BO,TAMIL NADU NEWSPRINT & PAPERS LTD.,Active,A,10,INE107A01015,Paper & Paper Products,Equity
531429,,ADVENT,ADVENT.BO,ADVENT COMPUTER SERVICES LTD.,Active,XT,10,INE101C01022,IT Software Products,Equity
531431,,SHAKTIPUMP,SHAKTIPUMP.BO,SHAKTI PUMPS (INDIA) LTD.-$,Active,B,10,INE908D01010,Industrial Machinery,Equity
531433,,SUNGOLD,SUNGOLD.BO,SUNGOLD CAPITAL LTD.,Active,X,10,INE271D01013,Finance (including NBFCs),Equity
531436,,SAFFRON,SAFFRON.BO,Saffron Industries Limited,Active,XT,10,INE474D01013,Paper & Paper Products,Equity
531437,,PWASML,PWASML.BO,Prakash Woollen & Synthetic Mills Ltd,Active,X,10,INE523I01016,Textiles,Equity
531439,,GOLDTECH,GOLDTECH.BO,GOLDSTONE TECHNOLOGIES LTD.,Active,B,10,INE805A01014,IT Consulting & Software,Equity
531444,,VARDHMAN,VARDHMAN.BO,Vardhman Concrete Limited,Active,XT,10,INE115C01014,Cement & Cement Products,Equity
531449,,GRMOVER,GRMOVER.BO,GRM OVERSEAS LTD.,Active,X,10,INE192H01012,Other Agricultural Products,Equity
531453,,MOHITIND,MOHITIND.BO,MOHIT INDUSTRIES LTD.-$,Active,B,10,INE954E01012,Textiles,Equity
531454,,POLYLINK,POLYLINK.BO,POLYLINK POLYMERS (INDIA) LTD.,Active,X,5,INE323D01020,Fibres & Plastics,Equity
531456,,MINAXI,MINAXI.BO,MINAXI TEXTILES LTD.,Active,X,1,INE952C01028,Textiles,Equity
531460,,CONTICON,CONTICON.BO,CONTINENTAL CONTROLS LTD.,Active,XT,10,INE545B01022,Other Elect.Equip./ Prod.,Equity
531465,,NOUVEAU,NOUVEAU.BO,NOUVEAU GLOBAL VENTURES LTD.,Active,X,10,INE317B01034,Comm.Trading  & Distribution,Equity
531471,,DUKEOFS,DUKEOFS.BO,DUKE OFFSHORE LTD.,Active,X,10,INE397G01019,Oil Equipment & Services,Equity
531472,,CYBELEIND,CYBELEIND.BO,CYBELE INDUSTRIES LTD.,Active,X,10,INE183D01010,Other Elect.Equip./ Prod.,Equity
531489,,CGVAK,CGVAK.BO,CG-VAK SOFTWARE & EXPORTS LTD.,Active,X,10,INE084D01010,IT Software Products,Equity
531494,,NAVBLDR,NAVBLDR.BO,NAVKAR BUILDERS LTD.,Active,X,10,INE268H01010,Realty,Equity
531496,,OMKAR,OMKAR.BO,OMKAR OVERSEAS LTD.,Active,X,10,INE680D01015,Textiles,Equity
531497,,MADHUCON,MADHUCON.BO,MADHUCON PROJECTS LTD.-$,Active,B,1,INE378D01032,Construction & Engineering,Equity
531499,,SYBLY,SYBLY.BO,SYBLY INDUSTRIES LTD.-$,Active,XT,10,INE080D01042,Textiles,Equity
531500,,RAJESHEXPO,RAJESHEXPO.BO,RAJESH EXPORTS LTD.,Active,A,1,INE343B01030,Other Apparels & Accessories,Equity
531502,,ESARIND,ESARIND.BO,ESAAR (INDIA) LTD.,Active,X,10,INE404L01039,Diversified Commercial Services,Equity
531503,,MARIS,MARIS.BO,MARIS SPINNERS LTD.-$,Active,X,10,INE866D01010,Textiles,Equity
531505,,INDERGR,INDERGR.BO,INDERGIRI FINANCE LTD.,Active,X,10,INE628F01019,Finance (including NBFCs),Equity
531506,,SKRABUL,SKRABUL.BO,SHUKRA BULLIONS LTD.,Active,X,10,INE561E01015,Diversified Commercial Services,Equity
531508,,EVEREADY,EVEREADY.BO,EVEREADY INDUSTRIES INDIA LTD.,Active,A,5,INE128A01029,Non-Durable Household Prod.,Equity
531509,,STEP2COR,STEP2COR.BO,STEP TWO CORPORATION LTD.,Active,XT,10,INE623D01015,Other Financial Services,Equity
531512,,ORIENTTR,ORIENTTR.BO,ORIENT TRADELINK LTD.,Active,XT,10,INE681D01039,Movies & Entertainment,Equity
531515,,MAHANIN,MAHANIN.BO,MAHAN INDUSTRIES LTD.,Active,XT,10,INE735D01033,Comm.Trading  & Distribution,Equity
531518,,VIKASPROP,VIKASPROP.BO,Vikas Proppant & Granite Ltd,Active,B,1,INE767B01022,Other Agricultural Products,Equity
531521,,DESHRAK,DESHRAK.BO,DESH RAKSHAK AUSHDHALAYA LTD.,Active,P,10,INE971E01016,Pharmaceuticals,Equity
531525,,ACESOFT,ACESOFT.BO,ACE SOFTWARE EXPORTS LTD.-$,Active,X,10,INE849B01010,IT Software Products,Equity
531531,,HATSUN,HATSUN.BO,HATSUN AGRO PRODUCT LTD.,Active,A,1,INE473B01035,Packaged Foods,Equity
531533,,ECOM,ECOM.BO,E.COM INFOTECH (I) LTD.,Active,XT,10,INE578B01015,IT Consulting & Software,Equity
531539,,RISHDIGA,RISHDIGA.BO,RISHABH DIGHA STEEL & ALLIED PRODUCTS LTD.-$,Active,X,10,INE864D01015,Iron & Steel/Interm.Products,Equity
531540,,MAINFRA,MAINFRA.BO,MARUTI INFRASTRUCTURE LTD.,Active,X,10,INE392G01010,Construction & Engineering,Equity
531541,,KOBO,KOBO.BO,Kobo Biotech Ltd-$,Active,Z,10,INE881A01015,Commodity Chemicals,Equity
531543,,JINDWORLD,JINDWORLD.BO,JINDAL WORLDWIDE LTD.,Active,B,1,INE247D01039,Textiles,Equity
531548,,SOMANYCERA,SOMANYCERA.BO,SOMANY CERAMICS LTD.,Active,A,2,INE355A01028,Furniture-Furnishing-Paints,Equity
